ID_Imovel,Titulo_Anuncio,Bairro,Tipo_Propriedade,Quartos,Valor_Diaria,Taxa_Limpeza,Nota_Avaliacao
1,apto vista mar,Copacabana,Apartamento,2,450.0,150.0,4.8
2,COBERTURA DE LUXO,Ipanema,Cobertura,4,1500.0,300.0,4.9
3,Studio central,,Studio,1,200.0,80.0,4.5
4,casa com piscina,Barra da Tijuca,Casa,3,800.0,200.0,4.7
5,Lindo Apto 2 quartos,Copacabana,Apartamento,2,350.0,120.0,
6,STUDIO MODERNO,Botafogo,Studio,1,250.0,90.0,4.6
7,cobertura espetacular,Leblon,Cobertura,3,1800.0,350.0,5.0
8,Apto Aconchegante,,Apartamento,1,180.0,70.0,4.3
9,CASA PRAIA,Barra da Tijuca,Casa,4,1200.0,250.0,4.8
10,studio economico,Centro,Studio,1,120.0,50.0,4.0
11,Apto Frente Mar,Ipanema,Apartamento,3,900.0,200.0,
12,cobertura duplex,Botafogo,Cobertura,3,1100.0,250.0,4.7
13,Casa de vila,,Casa,2,400.0,100.0,4.5
14,STUDIO VINTAGE,Lapa,Studio,1,150.0,60.0,4.2
15,apto reformado,Copacabana,Apartamento,2,380.0,130.0,4.6
16,cobertura vista lagoa,Leblon,Cobertura,4,2000.0,400.0,5.0
17,Casa Espaçosa,Barra da Tijuca,Casa,5,1500.0,300.0,4.9
18,studio executivo,Centro,Studio,1,160.0,70.0,
19,APTO FAMILIA,Ipanema,Apartamento,3,850.0,180.0,4.8
20,Cobertura Charmosa,Copacabana,Cobertura,2,950.0,200.0,4.7
21,casa de campo,,Casa,3,600.0,150.0,4.5
22,Studio Romantico,Botafogo,Studio,1,220.0,80.0,4.6
23,apto sol da manha,Leblon,Apartamento,2,550.0,150.0,4.9
24,COBERTURA BARRA,Barra da Tijuca,Cobertura,4,1700.0,350.0,
25,casa temporada,Recreio,Casa,4,900.0,200.0,4.7
26,studio wifi rapido,Centro,Studio,1,130.0,50.0,4.1
27,Apto proximo metro,Botafogo,Apartamento,2,300.0,100.0,4.4
28,cobertura ipanema,,Cobertura,3,1600.0,300.0,4.9
29,CASA LUXO,Leblon,Casa,5,2500.0,500.0,5.0
